,CX depth,# CX,depth,Rz depth,# Rz,Rx depth,# Rx,time,filename,gadgets,qubits,architecture,method
0,871,1090,962,99,100,0,0,0 days 00:00:00.118205000,circuits/9qubits/100gadgets/Original8.qasm,100,9,9q-square,tket
0,297,477,334,73,100,0,0,0 days 00:00:00.040034000,circuits/9qubits/100gadgets/Original9.qasm,100,9,9q-square,proposed
0,315,500,383,94,100,0,0,0 days 00:00:00.212425000,circuits/9qubits/100gadgets/Original9.qasm,100,9,9q-square,nash
0,842,980,937,98,100,0,0,0 days 00:00:00.104823000,circuits/9qubits/100gadgets/Original9.qasm,100,9,9q-square,tket
0,283,456,315,72,100,0,0,0 days 00:00:00.040651000,circuits/9qubits/100gadgets/Original15.qasm,100,9,9q-square,proposed
0,321,518,362,97,100,0,0,0 days 00:00:00.182903000,circuits/9qubits/100gadgets/Original15.qasm,100,9,9q-square,nash
0,874,1024,970,99,100,0,0,0 days 00:00:00.145356000,circuits/9qubits/100gadgets/Original15.qasm,100,9,9q-square,tket
0,260,451,299,74,100,0,0,0 days 00:00:00.050624000,circuits/9qubits/100gadgets/Original5.qasm,100,9,9q-square,proposed
0,339,515,380,91,100,0,0,0 days 00:00:00.210001000,circuits/9qubits/100gadgets/Original5.qasm,100,9,9q-square,nash
0,896,1054,992,100,100,0,0,0 days 00:00:00.115585000,circuits/9qubits/100gadgets/Original5.qasm,100,9,9q-square,tket
0,253,434,292,70,100,0,0,0 days 00:00:00.039572000,circuits/9qubits/100gadgets/Original19.qasm,100,9,9q-square,proposed
0,274,430,310,95,100,0,0,0 days 00:00:00.184068000,circuits/9qubits/100gadgets/Original19.qasm,100,9,9q-square,nash
0,967,1127,1064,99,100,0,0,0 days 00:00:00.112310000,circuits/9qubits/100gadgets/Original19.qasm,100,9,9q-square,tket
0,505,1310,516,67,100,0,0,0 days 00:00:00.184527000,circuits/16qubits/100gadgets/Original6.qasm,100,16,16q-square,proposed
0,487,1175,537,97,100,0,0,0 days 00:00:00.984908000,circuits/16qubits/100gadgets/Original6.qasm,100,16,16q-square,nash
0,2466,3108,2566,100,100,0,0,0 days 00:00:00.373628000,circuits/16qubits/100gadgets/Original6.qasm,100,16,16q-square,tket
0,513,1253,523,73,100,0,0,0 days 00:00:00.170594000,circuits/16qubits/100gadgets/Original16.qasm,100,16,16q-square,proposed
0,525,1251,565,97,100,0,0,0 days 00:00:00.999545000,circuits/16qubits/100gadgets/Original16.qasm,100,16,16q-square,nash
0,2603,3199,2703,100,100,0,0,0 days 00:00:00.350429000,circuits/16qubits/100gadgets/Original16.qasm,100,16,16q-square,tket
0,514,1324,528,77,100,0,0,0 days 00:00:00.210677000,circuits/16qubits/100gadgets/Original17.qasm,100,16,16q-square,proposed
0,514,1202,534,98,100,0,0,0 days 00:00:01.958008000,circuits/16qubits/100gadgets/Original17.qasm,100,16,16q-square,nash
0,2368,2891,2468,100,100,0,0,0 days 00:00:00.383276000,circuits/16qubits/100gadgets/Original17.qasm,100,16,16q-square,tket
0,504,1335,517,76,100,0,0,0 days 00:00:00.260905000,circuits/16qubits/100gadgets/Original7.qasm,100,16,16q-square,proposed
0,546,1254,563,95,100,0,0,0 days 00:00:01.321154000,circuits/16qubits/100gadgets/Original7.qasm,100,16,16q-square,nash
0,2471,3169,2569,100,100,0,0,0 days 00:00:00.418690000,circuits/16qubits/100gadgets/Original7.qasm,100,16,16q-square,tket
0,497,1320,511,74,100,0,0,0 days 00:00:00.182524000,circuits/16qubits/100gadgets/Original10.qasm,100,16,16q-square,proposed
0,525,1220,561,98,100,0,0,0 days 00:00:01.535961000,circuits/16qubits/100gadgets/Original10.qasm,100,16,16q-square,nash
0,2331,2953,2429,100,100,0,0,0 days 00:00:00.349772000,circuits/16qubits/100gadgets/Original10.qasm,100,16,16q-square,tket
0,509,1292,525,66,100,0,0,0 days 00:00:00.370256000,circuits/16qubits/100gadgets/Original0.qasm,100,16,16q-square,proposed
0,528,1171,572,96,100,0,0,0 days 00:00:01.466530000,circuits/16qubits/100gadgets/Original0.qasm,100,16,16q-square,nash
0,2399,2929,2498,100,100,0,0,0 days 00:00:00.358062000,circuits/16qubits/100gadgets/Original0.qasm,100,16,16q-square,tket
0,549,1327,558,82,100,0,0,0 days 00:00:00.175334000,circuits/16qubits/100gadgets/Original1.qasm,100,16,16q-square,proposed
0,523,1136,561,97,100,0,0,0 days 00:00:01.416660000,circuits/16qubits/100gadgets/Original1.qasm,100,16,16q-square,nash
0,2381,3073,2481,100,100,0,0,0 days 00:00:01.095440000,circuits/16qubits/100gadgets/Original1.qasm,100,16,16q-square,tket
0,519,1305,524,72,100,0,0,0 days 00:00:00.415949000,circuits/16qubits/100gadgets/Original11.qasm,100,16,16q-square,proposed
0,543,1276,581,98,100,0,0,0 days 00:00:01.792680000,circuits/16qubits/100gadgets/Original11.qasm,100,16,16q-square,nash
0,2424,3027,2524,100,100,0,0,0 days 00:00:00.371201000,circuits/16qubits/100gadgets/Original11.qasm,100,16,16q-square,tket
0,493,1348,507,72,100,0,0,0 days 00:00:00.181649000,circuits/16qubits/100gadgets/Original12.qasm,100,16,16q-square,proposed
0,510,1233,556,99,100,0,0,0 days 00:00:01.116323000,circuits/16qubits/100gadgets/Original12.qasm,100,16,16q-square,nash
0,2193,2798,2291,100,100,0,0,0 days 00:00:00.320878000,circuits/16qubits/100gadgets/Original12.qasm,100,16,16q-square,tket
0,487,1148,503,72,100,0,0,0 days 00:00:00.196103000,circuits/16qubits/100gadgets/Original2.qasm,100,16,16q-square,proposed
0,565,1287,590,95,100,0,0,0 days 00:00:01.167330000,circuits/16qubits/100gadgets/Original2.qasm,100,16,16q-square,nash
0,2162,2688,2261,100,100,0,0,0 days 00:00:00.299518000,circuits/16qubits/100gadgets/Original2.qasm,100,16,16q-square,tket
0,497,1292,510,71,100,0,0,0 days 00:00:00.168319000,circuits/16qubits/100gadgets/Original3.qasm,100,16,16q-square,proposed
0,537,1258,576,98,100,0,0,0 days 00:00:01.273871000,circuits/16qubits/100gadgets/Original3.qasm,100,16,16q-square,nash
0,2308,2937,2408,100,100,0,0,0 days 00:00:00.397377000,circuits/16qubits/100gadgets/Original3.qasm,100,16,16q-square,tket
0,518,1297,535,66,100,0,0,0 days 00:00:00.360922000,circuits/16qubits/100gadgets/Original13.qasm,100,16,16q-square,proposed
0,522,1250,562,97,100,0,0,0 days 00:00:01.374563000,circuits/16qubits/100gadgets/Original13.qasm,100,16,16q-square,nash
0,2448,2986,2547,100,100,0,0,0 days 00:00:00.401487000,circuits/16qubits/100gadgets/Original13.qasm,100,16,16q-square,tket
0,518,1268,534,74,100,0,0,0 days 00:00:00.274358000,circuits/16qubits/100gadgets/Original18.qasm,100,16,16q-square,proposed
0,550,1303,584,98,100,0,0,0 days 00:00:01.192190000,circuits/16qubits/100gadgets/Original18.qasm,100,16,16q-square,nash
0,2462,3181,2561,100,100,0,0,0 days 00:00:00.408015000,circuits/16qubits/100gadgets/Original18.qasm,100,16,16q-square,tket
0,486,1378,501,71,100,0,0,0 days 00:00:00.192005000,circuits/16qubits/100gadgets/Original4.qasm,100,16,16q-square,proposed
0,514,1192,563,96,100,0,0,0 days 00:00:01.260717000,circuits/16qubits/100gadgets/Original4.qasm,100,16,16q-square,nash
0,2452,3096,2551,100,100,0,0,0 days 00:00:00.586722000,circuits/16qubits/100gadgets/Original4.qasm,100,16,16q-square,tket
0,480,1207,492,65,100,0,0,0 days 00:00:00.253579000,circuits/16qubits/100gadgets/Original14.qasm,100,16,16q-square,proposed
0,535,1245,564,96,100,0,0,0 days 00:00:01.205234000,circuits/16qubits/100gadgets/Original14.qasm,100,16,16q-square,nash
0,2376,3070,2474,100,100,0,0,0 days 00:00:00.371253000,circuits/16qubits/100gadgets/Original14.qasm,100,16,16q-square,tket
0,511,1274,517,66,100,0,0,0 days 00:00:00.193648000,circuits/16qubits/100gadgets/Original8.qasm,100,16,16q-square,proposed
0,517,1161,551,99,100,0,0,0 days 00:00:01.288469000,circuits/16qubits/100gadgets/Original8.qasm,100,16,16q-square,nash
0,2284,2824,2382,99,100,0,0,0 days 00:00:00.367908000,circuits/16qubits/100gadgets/Original8.qasm,100,16,16q-square,tket
0,506,1463,516,83,100,0,0,0 days 00:00:00.203104000,circuits/16qubits/100gadgets/Original9.qasm,100,16,16q-square,proposed
0,526,1161,571,97,100,0,0,0 days 00:00:01.758406000,circuits/16qubits/100gadgets/Original9.qasm,100,16,16q-square,nash
0,2333,2933,2432,99,100,0,0,0 days 00:00:01.124499000,circuits/16qubits/100gadgets/Original9.qasm,100,16,16q-square,tket
0,505,1325,520,70,100,0,0,0 days 00:00:00.340880000,circuits/16qubits/100gadgets/Original15.qasm,100,16,16q-square,proposed
0,508,1220,558,98,100,0,0,0 days 00:00:01.367295000,circuits/16qubits/100gadgets/Original15.qasm,100,16,16q-square,nash
0,2286,2849,2384,100,100,0,0,0 days 00:00:00.431966000,circuits/16qubits/100gadgets/Original15.qasm,100,16,16q-square,tket
0,477,1309,480,59,100,0,0,0 days 00:00:00.185956000,circuits/16qubits/100gadgets/Original5.qasm,100,16,16q-square,proposed
0,580,1245,618,97,100,0,0,0 days 00:00:01.213767000,circuits/16qubits/100gadgets/Original5.qasm,100,16,16q-square,nash
0,2337,3008,2435,100,100,0,0,0 days 00:00:00.385383000,circuits/16qubits/100gadgets/Original5.qasm,100,16,16q-square,tket
0,531,1205,545,73,100,0,0,0 days 00:00:00.192381000,circuits/16qubits/100gadgets/Original19.qasm,100,16,16q-square,proposed
0,555,1210,584,97,100,0,0,0 days 00:00:01.154708000,circuits/16qubits/100gadgets/Original19.qasm,100,16,16q-square,nash
0,2362,3005,2462,100,100,0,0,0 days 00:00:00.362212000,circuits/16qubits/100gadgets/Original19.qasm,100,16,16q-square,tket
0,696,2591,708,68,100,0,0,0 days 00:00:00.755527000,circuits/25qubits/100gadgets/Original6.qasm,100,25,25q-square,proposed
0,660,2186,700,98,100,0,0,0 days 00:00:04.166463000,circuits/25qubits/100gadgets/Original6.qasm,100,25,25q-square,nash
0,4311,5460,4409,100,100,0,0,0 days 00:00:00.860685000,circuits/25qubits/100gadgets/Original6.qasm,100,25,25q-square,tket
0,699,2478,706,69,100,0,0,0 days 00:00:00.675782000,circuits/25qubits/100gadgets/Original16.qasm,100,25,25q-square,proposed
0,648,2137,669,98,100,0,0,0 days 00:00:04.807268000,circuits/25qubits/100gadgets/Original16.qasm,100,25,25q-square,nash
0,4157,5315,4257,100,100,0,0,0 days 00:00:01.047880000,circuits/25qubits/100gadgets/Original16.qasm,100,25,25q-square,tket
0,643,2550,653,82,100,0,0,0 days 00:00:00.724053000,circuits/25qubits/100gadgets/Original17.qasm,100,25,25q-square,proposed
0,644,2057,679,99,100,0,0,0 days 00:00:04.202245000,circuits/25qubits/100gadgets/Original17.qasm,100,25,25q-square,nash
0,4140,5278,4240,100,100,0,0,0 days 00:00:00.905065000,circuits/25qubits/100gadgets/Original17.qasm,100,25,25q-square,tket
0,666,2489,676,69,100,0,0,0 days 00:00:00.705273000,circuits/25qubits/100gadgets/Original7.qasm,100,25,25q-square,proposed
0,685,2282,716,96,100,0,0,0 days 00:00:04.379733000,circuits/25qubits/100gadgets/Original7.qasm,100,25,25q-square,nash
0,4460,5687,4560,100,100,0,0,0 days 00:00:01.044520000,circuits/25qubits/100gadgets/Original7.qasm,100,25,25q-square,tket
0,635,2557,643,77,100,0,0,0 days 00:00:00.715963000,circuits/25qubits/100gadgets/Original10.qasm,100,25,25q-square,proposed
0,696,2190,727,97,100,0,0,0 days 00:00:04.237389000,circuits/25qubits/100gadgets/Original10.qasm,100,25,25q-square,nash
0,4498,5786,4598,100,100,0,0,0 days 00:00:00.958055000,circuits/25qubits/100gadgets/Original10.qasm,100,25,25q-square,tket
0,672,2537,676,61,100,0,0,0 days 00:00:00.853036000,circuits/25qubits/100gadgets/Original0.qasm,100,25,25q-square,proposed
0,672,2124,708,98,100,0,0,0 days 00:00:04.343905000,circuits/25qubits/100gadgets/Original0.qasm,100,25,25q-square,nash
0,4661,6030,4760,100,100,0,0,0 days 00:00:00.946871000,circuits/25qubits/100gadgets/Original0.qasm,100,25,25q-square,tket
0,641,2408,644,67,100,0,0,0 days 00:00:00.663552000,circuits/25qubits/100gadgets/Original1.qasm,100,25,25q-square,proposed
0,697,2268,715,94,100,0,0,0 days 00:00:04.393111000,circuits/25qubits/100gadgets/Original1.qasm,100,25,25q-square,nash
0,4131,5243,4231,100,100,0,0,0 days 00:00:00.943306000,circuits/25qubits/100gadgets/Original1.qasm,100,25,25q-square,tket
0,707,2603,715,86,100,0,0,0 days 00:00:00.676946000,circuits/25qubits/100gadgets/Original11.qasm,100,25,25q-square,proposed
